year_end,dt,gst,fed,customs,gdp,gdp_nonagr,lsm,imports,dutiable_imports,exrate,inflation,consumption,covid,regime,step_2024,dummy_2024,dummy_2025,log_dt,log_gst,log_fed,log_customs,log_gdp,log_gdp_nonagr,log_lsm,log_imports,log_dutiable_imports,log_consumption,log_exrate
1995,61660.0,43574,43691.0,77653.0,1671977.0,1234943.0,200799.0,320892,217696,31.725800833333327,12.465485752499996,1570000000000,0,0,0,0,0,11.02939070144014,10.682215921186279,10.684897410216388,11.260005462730717,14.329517316551309,14.026535373132939,12.210059686707629,12.678859896902495,12.290854873144788,28.082096735288765,3.4571302562553226
1996,78165.0,49841,51115.0,88916.0,1929891.0,1438100.0,226482.0,397575,267690,36.169530083333335,10.345576765416666,1810000000000,0,0,0,0,0,11.266577256011425,10.816593217465508,10.841833275191114,11.3954473828108,14.472974082602262,14.17883335587447,12.330420750548626,12.893138874524116,12.497584873562307,28.224347961206284,3.588217053989463
1997,85060.0,55668,55265.0,86094.0,2226580.0,1632026.0,255798.0,465001,364622,41.219948333333335,11.433845289083335,2110000000000,0,0,0,0,0,11.351112168807624,10.927160754539743,10.919895075745055,11.363195001576461,14.615977333931543,14.305332745751835,12.452143349488026,13.049794835104816,12.806616479505047,28.377709063416525,3.7189223220246843
1998,103182.0,53942,62011.0,74496.0,2480884.0,1803353.0,284725.0,436338,339004,45.20017683333333,6.225523247583333,2230000000000,0,0,0,0,0,11.544249698212255,10.895664674241416,11.035067067645114,11.218500711651055,14.724125506240284,14.405158267825216,12.559279081142552,12.9861724513539,12.733767185703003,28.433022701400574,3.8111009990724205
1999,110207.0,72105,60905.0,65292.0,2735943.0,1996374.0,307647.0,465964,355443,49.57548258333333,4.162349577083334,2530000000000,0,0,0,0,0,11.610115694554729,11.185878668996171,11.01707055213406,11.086624796273925,14.821986724174227,14.50684309305059,12.636708300780283,13.051863656904715,12.78112017781725,28.559240418667976,3.903496408767625
2001,124585.0,153565,49080.0,65047.0,3923244.0,2977943.0,410879.0,627000,386597,53.89507391666667,4.3605024175,4420000000000,0,0,0,0,0,11.732743492855862,11.941879209147297,10.801206898824848,11.082865364506683,15.182429420555504,14.906743351680253,12.926054046240093,13.348701819615057,12.865138085767645,29.117160812018156,3.9870390807266056
2002,142505.0,166561,47186.0,47818.0,5599529.403121724,4378417.7870867215,463805.1887455978,634630,404641,61.81470083333334,3.9198985024999993,4880000000000,0,0,0,0,0,11.86713236579458,12.023116887673233,10.761852517406659,10.77515741663288,15.538193117017391,15.292197981266302,13.047219891204547,13.360797430887164,12.910755533233282,29.216166335793606,4.124141213737292
2003,151898.0,195139,44754.0,68836.0,6116023.804879991,4793739.955400249,518279.09014106134,714372,436316,59.620870499999995,3.551373402333333,5160000000000,0,0,0,0,0,11.93096452194024,12.181467404122829,10.708936105183218,11.139482142884802,15.62642273825373,15.382821448742236,13.158269160205707,13.479159114047329,12.986122030453968,29.27195769542202,4.088005688948433
2004,165079.0,219167,45552.0,91045.0,7059769.254687091,5518882.018188222,652097.1492450573,897825,629159,57.75103925000001,2.8718588853333338,5590000000000,0,0,0,0,0,12.014179426179162,12.297589275277337,10.726609809517818,11.419109168765944,15.769922925463225,15.523685864803797,13.387948831718704,13.70773045078768,13.3521392859325,29.352000403095555,4.056141344910978
2005,183372.0,238537,53104.0,115374.0,8109528.5984042855,6348912.440110935,820628.8843987893,1223079,869815,58.40198858333333,7.431772656833334,6570000000000,0,0,0,0,0,12.119272155393258,12.38227971354649,10.880007533959756,11.655934304378642,15.908550298434804,15.66379408692675,13.617826257491865,14.016882007840689,13.676035824340733,29.513534948425068,4.067349940338931
